bpi_rank,Team_Name,Conference,W-L,bpi_off,bpi_def,bpi_rating,seven_day_rank_change
89,Ohio,MAC E,20-11,1.3,3.2,4.5,1
90,Connecticut,American,16-17,1.2,3.4,4.5,5
91,Penn State,Big Ten,15-18,-0.3,4.8,4.5,5
92,Richmond,A 10,21-12,3.2,1.3,4.5,4
93,Charleston,CAA,25-10,0.0,4.4,4.4,1
94,Colorado,Pac-12,19-14,3.2,1.2,4.4,3
95,Louisiana Tech,C-USA,23-10,1.5,2.9,4.4,8
96,Furman,Southern,21-11,2.2,2.2,4.4,3
97,New Mexico State,WAC,28-5,3.0,1.0,4.0,11
98,Loyola-Chicago,MVC,18-14,2.6,1.4,3.9,1
99,Boise State,MW,20-11,2.8,1.1,3.9,1
100,Winthrop,Big South,26-6,1.7,2.2,3.9,--
101,St John's,Big East,14-19,2.1,1.7,3.8,4
102,Oakland,Horizon,25-8,0.2,3.5,3.8,5
103,Mississippi State,SEC,16-16,1.3,2.4,3.7,2
104,Chattanooga,Southern,19-12,1.2,2.4,3.5,--
105,Harvard,Ivy,18-10,0.7,2.7,3.5,3
106,Saint Peter's,MAAC,19-13,-1.0,4.3,3.3,3
107,Valparaiso,Horizon,24-9,0.7,2.4,3.1,4
108,Fresno State,MW,20-12,0.1,2.9,3.0,4
109,Towson,CAA,20-13,0.8,2.2,3.0,4
110,Temple,American,16-16,2.0,1.0,3.0,4
111,UL Lafayette,Sun Belt,21-12,4.2,-1.3,2.9,--
112,Toledo,MAC W,17-16,3.5,-0.7,2.9,4
113,Lehigh,Patriot,20-12,2.0,0.9,2.9,3
114,Albany,Am. East,21-13,2.4,0.5,2.9,--
115,CSU Bakersfield,WAC,23-9,-2.6,5.4,2.9,2
116,Fort Wayne,Summit,19-12,3.9,-1.0,2.9,1
117,Colorado State,MW,24-11,2.1,0.6,2.8,15
118,William & Mary,CAA,17-14,5.2,-2.5,2.7,1
119,Memphis,American,19-13,0.9,1.8,2.7,14
120,Nebraska,Big Ten,12-19,-0.1,2.5,2.4,2
121,San Francisco,WCC,20-12,-0.8,3.2,2.4,1
122,Santa Clara,WCC,17-16,1.4,0.9,2.3,--
123,Troy,Sun Belt,22-14,3.6,-1.3,2.3,24
124,Old Dominion,C-USA,19-12,-2.9,5.1,2.2,3
125,George Mason,A 10,20-13,2.1,0.2,2.2,5
126,UC Irvine,Big West,21-14,-1.5,3.7,2.2,2
127,Buffalo,MAC E,17-15,0.3,1.8,2.2,2
128,Georgia State,Sun Belt,20-12,0.4,1.8,2.1,3
129,UNC Greensboro,Southern,25-9,2.1,-0.0,2.1,3
130,Missouri State,MVC,17-16,2.4,-0.4,2.0,3
131,New Mexico,MW,17-14,1.7,0.3,2.0,4
132,Arkansas State,Sun Belt,20-12,0.3,1.7,2.0,7
